Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS submitted	MS/MS submitted (SIL)	MS/MS submitted (ISO)	MS/MS submitted (PEAK)	MS/MS identified	MS/MS identified (SIL)	MS/MS identified (ISO)	MS/MS identified (PEAK)	MS/MS identified [%]	MS/MS identified (SIL) [%]	MS/MS identified (ISO) [%]	MS/MS identified (PEAK) [%]	Peptide sequences identified	Peaks	Peaks sequenced	Peaks sequenced [%]	Peaks repeatedly sequenced	Peaks repeatedly sequenced [%]	Isotope patterns	Isotope patterns sequenced	Isotope patterns sequenced (z>1)	Isotope patterns sequenced [%]	Isotope patterns sequenced (z>1) [%]	Isotope patterns repeatedly sequenced	Isotope patterns repeatedly sequenced [%]	Recalibrated	Av. absolute mass deviation [ppm]	Mass standard deviation [ppm]	Av. absolute mass deviation [mDa]	Mass standard deviation [mDa]	Label free norm param
ELITE-RSLC033441	Rep1_Total_Glycosome	LysC/P;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	3		Standard		10215	103561	0	119151	87923	0	31228	21299	20810	0	489	18	24	0	1.6	7516	1405319	77133	5.5	15568	20	163208	50797	49522	31	34	20878	41	+	0.42606	0.58927	0.30761	0.43456	
ELITE-RSLC033443	Rep1_SN0	LysC/P;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	3		Standard		10477	102302	0	117398	87180	0	30218	17057	16623	0	434	15	19	0	1.4	5686	1419458	77514	5.5	15181	20	164303	51249	50097	31	34	21328	42	+	0.45501	0.62051	0.3372	0.47525	
ELITE-RSLC033445	Rep1_SN1	LysC/P;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	3		Standard		11158	110294	0	126187	94379	0	31808	24204	23661	0	543	19	25	0	1.7	8311	1448961	84246	5.8	16260	19	173919	56635	55374	33	36	22596	40	+	0.46376	0.64204	0.34191	0.49373	
ELITE-RSLC033447	Rep1_SN2	LysC/P;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	3		Standard		18749	52272	0	69462	35038	0	34424	2268	2189	0	79	3.3	6.2	0	0.23	871	2178656	36190	1.7	7266	20	118413	17785	16459	15	22	8609	48	+	0.409	0.55397	0.28561	0.39071	
ELITE-RSLC033449	Rep1_NP	LysC/P;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	3		Standard		11808	105529	0	123103	87931	0	35172	21952	21170	0	782	18	24	0	2.2	6556	1363199	78954	5.8	15613	20	154012	51152	49844	33	37	21199	41	+	0.47631	0.66058	0.35206	0.5118	
ELITE-RSLC033453	Rep2_Total_Glycosome	LysC/P;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	3		Standard		10732	106696	0	123971	89239	0	34732	19652	18994	0	658	16	21	0	1.9	5992	1430163	78716	5.5	16646	21	160094	49766	48461	31	34	21728	44	+	0.43647	0.60275	0.31814	0.45521	
ELITE-RSLC033455	Rep2_SN0	LysC/P;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	3		Standard		11284	91232	0	109272	73056	0	36216	12805	12438	0	367	12	17	0	1	3624	1351575	67103	5	13430	20	127912	41012	39459	32	38	18248	44	+	0.48883	0.65775	0.34965	0.48502	
ELITE-RSLC033457	Rep2_OP	LysC/P;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	3		Standard		9938	119962	0	131085	108837	0	22248	38393	37797	0	596	29	35	0	2.7	20669	1748476	98363	5.6	15500	16	264098	76338	74230	29	33	23180	30	+	0.41919	0.60767	0.31987	0.47946	
ELITE-RSLC033459	Rep2_SN1	LysC/P;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	3		Standard		10575	87748	0	102397	73007	0	29390	14694	14234	0	460	14	19	0	1.6	5268	1293374	66525	5.1	12358	19	143575	44879	43590	31	36	17089	38	+	0.48595	0.66586	0.34305	0.48403	
ELITE-RSLC033461	Rep2_SN2	LysC/P;Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	3		Standard		19889	50152	0	69261	30887	0	38374	684	667	0	17	0.99	2.2	0	0.044	287	2223876	32689	1.5	7134	22	100953	14557	13203	14	21	7364	51	+	0.44593	0.60695	0.33493	0.47579	
