Protein group ID	ID'ed in Moloney et al.	tagm.map.localisation.prediction	Protein IDs (Tb427)	Majority protein IDs (Tb427)	Protein IDs (Both 427 and 927)	Majority protein IDs (Both 427 and 927)	Protein description	Guther et al. Name	Guther et al. Description	Mito. OM acc. to Niemann et al. (2013)	Mito. IM acc. to Niemann et al. (2013)	Glycosomal acc. to Güther et al. (2014)	Comments	Is a dual localized protein	TMD/hydrophobic protein	TM Presence	Guther et al High + TM	Peroxins and known PMPs	Marker - NEW	Marker protein name	Mol. weight [kDa]	Q-value	Score	Mean correlation	p-value	Class 1/2 PMP final assessment	Class 1/2 protein (preliminary)	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	Correlation Glyco-mem Rep1	Correlation Glyco-mem Rep2	Correlation Glyco-mem Rep3	Correlation Glyco-mem imputed Rep1	Correlation Glyco-mem imputed Rep2	Correlation Glyco-mem imputed Rep3	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22
4304	1	glycosomes	Tb427_110131800	Tb427_110131800	Tb427_110131800;Tb927.11.11520	Tb427_110131800;Tb927.11.11520	"Peroxisomal biogenesis factor 11 (PEX11), putative "	PEX11	"glycosomal membrane protein, putative"						TriTrypDB	Yes	1	1	Glycosomal membrane	PEX11	24	0	323	0.9990796	8.91E-07	1	1	0.072	0.048	0.211	0	1	0.999671388	0.999313665	0.998253746	0.999671388	0.999313665	0.998253746	0.041	0.035	0.047	0.001	1	0.168	0.022	0.041	0	1	0.008	0.088	0.546	0	1	0.016	1	0.559	0	0.035	0	0.119	0.31	0.066	0.001	0	0
1104			Tb427_050014300	Tb427_050014300	Tb427_030033400;Tb427_050014300;Tb927.3.3280;Tb927.5.960	Tb427_030033400;Tb427_050014300;Tb927.3.3280;Tb927.5.960	"Holliday junction DNA helicase RuvB P-loop domain/AAA domain (dynein-related subfamily)/ATPase family associated with various cellular activities (AAA)/AAA+ lid domain containing protein, putative "		"hypothetical protein, conserved"	Yes		High-confidence		TRUE (Msp1)	Phobius	 Yes but not predicted					37.2	0	323	0.9980794	5.98E-06	1	1	0.054	0.016	0.17	0.002	1	0.99931472	0.999415563	0.995507894	0.99931472	0.999415563	0.995507894	0.033	0.019	0.021	0.001	1	0.125	0.012	0.006	0.001	1	0.003	0.016	0.482	0.003	1	0.004	1	0.397	0.001	0.007	0.002	0.091	0.693	0.071	0.004	0.001	0.003
3416	1	glycosomes	Tb427_100125500	Tb427_100125500	Tb427_100125500;Tb927.10.11810	Tb427_100125500;Tb927.10.11810	"hypothetical protein, conserved "						"PTS1, Carbonate resistant"			No					70	0	323	0.9980017	2.34E-05		1	0.023	0.012	0.194	0.007	1	0.999779179	0.994814158	0.999411893	0.999779179	0.994814158	0.999411893	0.004	0.001	0.024	0.001	1	0.048	0.001	0.003	0	1	0.015	0.034	0.556	0.019	1	0.001	1	0.092	0.001	0.002	0.002	0.021	0.253	0.006	0.001	0.001	0.005
3751			Tb427_110023000	Tb427_110023000	Tb11.1390.1-p1;Tb427_110023000;Tb927.11.1830	Tb11.1390.1-p1;Tb427_110023000;Tb927.11.1830	"hypothetical protein, conserved "		"hypothetical protein, conserved"				Mitochondrial or ER								62	0	323	0.9977653	2.18E-04		1	0.145	0.138	0.071	0.068	1	0.996795782	0.99873473		0.996795782	0.99873473	0.44729278	0.08	0.126	0.06	0.046	1	0.209	0.149	0.081	0.091	1	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0	0	0.001	0	0.001	0	0.163	1	0.65	0.002	0	0
2603	1	glycosomes	Tb427_090053600	Tb427_090053600	Tb427_090053600;Tb927.9.9430	Tb427_090053600;Tb927.9.9430	"hypothetical protein, conserved "	PEX13.2	"hypothetical protein, conserved"						TriTrypDB	Yes	1	1	Glycosomal membrane	PEX13.2	27.7	0	5	0.9964392	6.61E-05	1	1	0.022	0.001	0.156	0	1	0.999245754	0.995893522	0.994178197	0.999245754	0.995893522	0.994178197	0.001	0.001	0	0	1	0.06	0.002	0	0.001	1	0.004	0.002	0.469	0	1	0.003	1	0.292	0.002	0.004	0.005	0.047	0.082	0.041	0.002	0.004	0.004
3586	1	glycosomes	Tb427_100155500	Tb427_100155500	Tb427_100155500;Tb927.10.14720	Tb427_100155500;Tb927.10.14720	"hypothetical protein, conserved "	PEX13.1	peroxin 13			High-confidence	PTS1		Phobius	 Yes but not predicted		1	Glycosomal membrane	PEX13.1 	42.2	0	122	0.9962681	3.33E-05	1	1	0.062	0.057	0.259	0.006	1	0.999194397	0.998517078	0.991092861	0.999194397	0.998517078	0.991092861	0.024	0.016	0.011	0.001	1	0.152	0.017	0.055	0.013	1	0.01	0.136	0.71	0.005	1	0.002	1	0.454	0	0.007	0	0.048	0.001	0.016	0	0	0
3785	1	glycosomes	Tb427_110028700	Tb427_110028700	Tb427_110028700;Tb927.11.2380	Tb427_110028700;Tb927.11.2380	"Phosphoglycerate kinase, putative "								TriTrypDB	Yes	1				100.9	0	323	0.9960869	2.04E-04	1	1	0.004	0.004	0.189	0	1	0.999220988	0.989619744	0.999420001	0.999220988	0.989619744	0.999420001	0.006	0.001	0.001	0	1	0.003	0.005	0.001	0	1	0.003	0.006	0.563	0.001	1	0.001	1	0.105	0	0.002	0	0.04	0.176	0.021	0	0	0
3830	1	glycosomes	Tb427_110036300	Tb427_110036300	Tb427_110036300;Tb927.11.3130	Tb427_110036300;Tb927.11.3130	"ABC transporter transmembrane region 2/ABC transporter, putative "	GAT2							TriTrypDB	Yes	1	1	Glycosomal membrane	GAT2	71.2	0	323	0.9947836	1.47E-04	1	1	0.004	0.004	0.234	0.001	1	0.999809206	0.989385997	0.995155531	0.999809206	0.989385997	0.995155531	0.002	0.002	0.024	0	1	0.002	0.007	0.001	0	1	0.007	0.005	0.677	0.004	1	0.001	1	0.076	0	0.001	0	0.029	0.183	0.014	0.001	0.001	0
1846			Tb427_070061100	Tb427_070061100	Tb427_070061100;Tb927.7.5540	Tb427_070061100;Tb927.7.5540	"NADH:flavin oxidoreductase / NADH oxidase family/HI0933-like protein/Pyridine nucleotide-disulphide oxidoreductase/FAD binding domain/FAD dependent oxidoreductase/NAD(P)-binding Rossmann-like domain containing protein, putative "				Yes		Could be inner Mitochondrial	Possible	Possible TMD at C terminus based on hydrophobity	Possible TM at CT based on hydrophobity					80.4	0	126	0.9942024	1.10E-03	1	1	0.394	0.369	0.595	0.326	1		0.992099077	0.996305787	0.86335531	0.992099077	0.996305787	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.521	0.404	0.433	0.345	1	0.267	0.335	0.756	0.306	1	0.01	0.154	0.016	0.018	0.023	0.018	0.578	1	0.009	0.008	0.011	0.029
1585			Tb427_070013500	Tb427_070013500	Tb427_070013500;Tb927.7.990	Tb427_070013500;Tb927.7.990	"DnaJ domain/Domain of unknown function (DUF3395), putative "						Mitochondrial or ER								86.6	0	132	0.9936518	1.07E-03		1	0.155	0.143	0.193	0.137	1	0.992721003	0.994582503		0.992721003	0.994582503	0.454522015	0.238	0.26	0.363	0.242	1	0.072	0.026	0.023	0.032	1	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0	0.002	0.004	0.001	0.003	0.001	0.087	1	0.072	0.001	0	0
