Description	ProteinID_927	ProteinID_427	marker	Trace_validated	Comments
NADH-dependent fumarate reductase	Tb927.5.930	Tb427_050032900	Glycosomal matrix		
phosphoglycerate kinase	Tb927.1.720	Tb427_010006700	Glycosomal matrix		
Glucose-6-phosphate 1-dehydrogenase	Tb927.10.2490	Tb427_100029200	Glycosomal matrix		
6-phosphogluconolactonase	Tb927.11.6330	Tb427_110068300	Glycosomal matrix		
glycerol kinase	Tb927.9.12550	Tb427_090073100	Glycosomal matrix		
L-galactonolactone oxidase	Tb927.5.2650	Tb427_050032900	Glycosomal matrix		
"Isocitrate dehydrogenase, putative"	Tb927.11.900	Tb427_110013700	Glycosomal matrix		
"Metallo-peptidase, Clan MH, Family M18"	Tb927.8.1910	Tb427_080021900	Glycosomal matrix		
glycosomal malate dehydrogenase 	Tb927.10.15410	Tb427_100162700	Glycosomal matrix		
Aldolase	Tb927.10.5620	Tb427_100060200	Glycosomal matrix		
Triose phosphate isomerase	Tb927.11.5520	Tb427_110060300	Glycosomal matrix		
"glycerol-3-phosphate dehydrogenase [NAD ], glycosomal "	Tb927.8.3530	Tb427_080040100	Glycosomal matrix		
pyruvate phosphate dikinase 	Tb927.11.6280	Tb427_110067700	Glycosomal matrix		
Hexokinase	Tb927.10.2010	Tb427_100023600	Glycosomal matrix		
HK2	Tb927.10.2020	Tb427_100023700	Glycosomal matrix		
Phosphofructokinase	Tb927.3.3270	Tb427_030033300	Glycosomal matrix		
"fructose-1,6-bisphosphatase "	Tb927.9.8720	Tb427_090049000	Glycosomal matrix		
"glucose-6-phosphate isomerase, glycosomal "	Tb927.1.3830	Tb427_010026900	Glycosomal matrix		
"mevalonate kinase, putative "	Tb927.4.4070	Tb427_040043400	Glycosomal matrix		
GIM5B	Tb927.9.11600	Tb427_090066200	Glycosomal membrane	yes	
GIM5A	Tb927.9.11580	Tb427_090066100	Glycosomal membrane	yes	
PEX11	Tb927.11.11520	Tb427_110131800	Glycosomal membrane	yes	
PEX13.1 	Tb927.10.14720	Tb427_100155500	Glycosomal membrane	yes	
PEX16	Tb927.9.6450	Tb427_090036100	Glycosomal membrane	yes	
PEX12	Tb927.10.15850	Tb427_100168100	Glycosomal membrane	yes	
PEX13.2	Tb927.9.9430	Tb427_090053600	Glycosomal membrane	yes	
GAT1	Tb927.4.4050	Tb427_040043200	Glycosomal membrane	yes	
GAT2	Tb927.11.3130	Tb427_110036300	Glycosomal membrane	yes	
PEX2	Tb927.3.2340	Tb427_030023100	Glycosomal membrane	yes	
PEX10	Tb927.3.2410	Tb427_030023800	Glycosomal membrane	yes	
PEX3	Tb927.11.10260	Tb427_110111200	Glycosomal membrane	yes	
ADP-ribosylation factor - ARF1	Tb927.9.13650	Tb427_090081800	Golgi	Not ID'ed	
ras-related protein RAB1A - LINJ.27.0620	Tb927.8.890	Tb427_080009100	Golgi	yes	
Lipophosphoglycan biosynthetic protein (Lpg2) - LINF_340051400	Tb927.4.430	Tb427_040006200	Golgi	yes	
Coatomer subunit epsilon	Tb927.11.14900 	Tb427_110167400	Golgi	yes	
Golgi reassembly stacking protein - GRASP	Tb927.11.2660	Tb427_110031500	Golgi	yes	
